hostname,default_flag,sy_snum,pl_orbsmax,pl_rade,pl_insol,st_refname,st_spectype,st_met,st_metratio,sy_refname,rastr,ra,decstr,dec,sy_kmag,sy_gaiamag,rowupdate
K2-285,1,1,0.18041,1.95,10.5,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,9.971,11.804,12/11/2018
K2-286,1,1,0.1768,2.1,,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.5928D/abstract target=ref>D&iacute;ez Alonso et al. 2019</a>,M0 V,0,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h33m28.76s,233.3698192,-16d46m25.36s,-16.7737113,9.317,12.1652,1/3/2019
K2-287,1,1,0.1206,9.494023,,<a refstr=JORD_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..100J/abstract target=ref>Jord&aacute;n et al. 2019</a>,,0.2,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h32m17.84s,233.0743401,-22d21m30.04s,-22.3583447,9.188,11.067,1/3/2019
K2-288 B,1,2,0.164,1.9,,<a refstr=FEINSTEIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...40F/abstract target=ref>Feinstein et al. 2019</a>,M3 V,-0.21,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m46.63s,55.4442857,+18d16m06.57s,18.2684913,,14.5451,1/4/2019
K2-289,1,1,0.107,9.1,,<a refstr=LIVINGSTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..102L/abstract target=ref>Livingston et al. 2019</a>,,0.162,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h26m34.31s,246.6429443,-15d47m33.14s,-15.7925384,10.641,13.7943,1/28/2019
K2-29,1,2,0.04217,13.33871,,<a refstr=SANTERNE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S/abstract target=ref>Santerne et al. 2016</a>,G7 V,0.16,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h10m40.90s,62.670422,+24d24m05.96s,24.4016558,10.062,12.2008,3/23/2016
K2-290,1,3,0.0923,3.06,,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h39m25.89s,234.8578846,-20d11m56.03s,-20.1988975,9.42,10.8204,1/22/2019
K2-290,1,3,0.305,11.276254,,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h39m25.89s,234.8578846,-20d11m56.03s,-20.1988975,9.42,10.8204,1/22/2019
K2-291,1,1,0.03261,1.589,633,<a refstr=KOSIAREK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..116K/abstract target=ref>Kosiarek et al. 2019</a>,,0.08,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h05m47.03s,76.44594,+21d32m53.52s,21.548199,8.353,9.86639,1/22/2019
K2-292,1,1,0.13,2.63,67,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,G3 V,0.07,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m30.21s,205.3758786,-09d56m45.85s,-9.9460704,8.407,9.75597,2/5/2019
